 			第七部
勤	平	P:十二文	第六部
勰	入	R:十六叶	
勷	平	P:七阳	
勺	入	R:十药	第十六部
勾			第十二部
勿	入	R:五物	第十八部
匀	平	P:十一真	第六部
包	平	P:三肴	第八部
匆	平	P:一东	第一部
匈	平	P:二冬	第一部
匋	平	P:四豪	
匍	平	P:七虞	第四部
匏	平	P:三肴	第八部
匐	入	R:一屋,R:十三职	第十五部,第十七部
匕	上	S:四纸	第三部
化	去	Q:二十二祃	第十部
北	去入	Q:十一队,R:二沃,R:八黠,R:十三职	第十五部,第十七部
匙	平	P:四支	第三部
匜	平上	P:四支,S:四纸	
匝	入	R:十五合	第十九部
匠	去	Q:二十三漾	第二部
匡	平	P:七阳	第二部
匣	入	R:十七洽	第十九部
匦	上	S:四纸	
匪	上	S:五尾	第三部
匮	去	Q:四寘	第三部
匹	入	R:四质	第十七部
区	平	P:七虞,P:十一尤	第四部
医	平	P:四支	第三部
匼	入	R:十五合	
匽	上	S:十三阮	
匾	上	S:十六铣	第七部
匿	入	R:十三职	第十七部
十	入	R:十四缉	第十七部
千	平	P:一先	第七部
卅	入	R:十五合	第十九部
升	平	P:十蒸	第十一部
午	上	S:七麌	第四部
卉	上去	S:五尾,Q:五未	第三部
半	去	Q:十五翰	第七部
卌	入	R:十四缉	
华	平去	P:六麻,Q:二十二祃	第十部
协	入	R:十六叶	第十八部
卑	平	P:四支	第三部
卒	入	R:四质,R:六月	第十七部,第十八部
卓	入	R:三觉	第十六部
单	平上去	P:十四寒,P:一先,S:十六铣,Q:十七霰	第七部
卖	去	Q:十卦	第五部
南	平	P:十三覃	第十四部
博	入	R:十药	第十六部
卜	入	R:一屋	第十五部
卞	去	Q:十七霰	第七部
占	平去	P:十四盐,Q:二十九艳	第十四部
卢	平	P:七虞	第四部
卣	平上	P:十一尤,S:二十五有	
卤	上	S:七麌	第四部
卦	去	Q:十卦	第十部
卧	去	Q:二十一个	第九部
卫	去	Q:八霁	第三部
卬	平	P:七阳	
卮	平	P:四支	第三部
卯	上	S:十八巧	第八部
印	去	Q:十二震	第六部
危	平	P:四支	第三部
即	入	R:十三职	第十七部
却	入	R:十药,R:十一陌	第十六部
卵	上	S:十四旱,S:二十哿	第七部,第九部
卷	平上	P:一先,S:十三阮,S:十六铣	第七部
卸	去	Q:二十二祃	第十部
卺	上	S:四纸,S:十二吻	
卼	入	R:六月	
卿	平	P:八庚	第十一部
厂	上	S:十四旱,S:二十二养	第二部
厄	入	R:十一陌	第十七部
厅	平	P:九青	第十一部
历	入	R:十二锡	第十七部
厉	去	Q:八霁	第三部
厊	上	S:二十一马	
压	入	R:十七洽	第十九部
厌	平上去入	P:十四盐,S:二十八琰,Q:二十九艳,R:十四缉,R:十六叶	第十四部,第十八部
厍	去	Q:二十二祃	
厎	上	S:四纸	
厕	去	Q:四寘	第三部
厖	平	P:三江	
厚	上去	S:二十五有,Q:二十六宥	第十二部
厜	平	P:四支	
厝	去入	Q:七遇,R:十药,R:十一陌	
厞	平	P:五微	
原	平	P:十三元	第七部
厢	平	P:七阳	第二部
厥	入	R:五物,R:六月	第十八部
厦	上	S:二十一马	第十部
厨	平	P:七虞	第四部
厩	去	Q:二十六宥	第十二部
厮	平	P:四支	
去	上去	S:六语,Q:六御	第四部
县	平去	P:一先,Q:十七霰	第七部
参	平去	P:十二侵,P:十三覃,Q:二十八勘	第十三部,第十四部
叆	上去	S:十贿,Q:十一队	
叇	上去	S:十贿,Q:十一队	
又	去	Q:二十六宥	第十二部
叉	平	P:六麻	第十部
及	入	R:十四缉	第十七部
友	上	S:二十五有	第十二部
双	平	P:三江	第二部
反	平上	P:十三元,S:十三阮	第七部
发	入	R:六月	第十八部
叔	入	R:一屋	第十五部
取	上	S:七麌,S:二十五有	第四部,第十二部
受	上	S:二十五有	第十二部
变	去	Q:十七霰	第七部
叙	上	S:六语	第四部
叛	去	Q:十五翰	第七部
叟	平上	P:十一尤,S:二十五有	第十二部
叠	入	R:十六叶	第十八部
口	上	S:二十五有	第十二部
古	上	S:七麌	第四部
句	平去	P:七虞,P:十一尤,Q:七遇,Q:二十六宥	第四部
叨	平	P:四豪	第八部
叩	上	S:二十五有	第十二部
只	平上入	P:四支,S:四纸,R:十一陌	第三部,第十七部
叫	去	Q:十八啸	第八部
召	去	Q:十八啸	第八部
叭	入	R:八黠	第十八部
叮	平	P:九青	第十一部
可	上	S:二十哿	第九部
台	平	P:四支,P:十灰	第五部
叱	入	R:四质	第十七部
史	上	S:四纸	第三部
右	上去	S:二十五有,Q:二十六宥	第十二部
叵	上	S:二十哿	第九部
叶	入	R:十六叶	第十八部
号	平去	P:四豪,Q:二十号	第八部
司	平去	P:四支,Q:四寘	第三部
叹	平去	P:十四寒,Q:十五翰	第七部
叽	平	P:五微	
吁	平去	P:七虞,Q:七遇	第四部
吃	入	R:五物,R:十二锡	第十七部,第十八部
各	入	R:十药	第十六部
合	入	R:十五合	第十九部
吉	入	R:四质	第十七部
吊	去入	Q:十八啸,R:十二锡	第八部
同	平	P:一东	第一部
名	平	P:八庚	第十一部
后	上去	S:二十五有,Q:二十六宥	第十二部
吏	去	Q:四寘	第三部
吐	上去	S:七麌,Q:七遇	第四部
向	上去	S:二十二养,Q:二十三漾	第二部
吒			第十部
吓	去入	Q:二十二祃,R:十一陌	第十部,第十七部
吕	上	S:六语	第四部
君	平	P:十二文	第六部
吝	去	Q:十二震	第六部
吞	平	P:十三元	第六部
吟	平去	P:十二侵,Q:二十七沁	第十三部
吠	去	Q:十一队	第三部
否	上	S:四纸,S:七麌,S:二十五有	第三部,第四部,第十二部
吪	平	P:五歌	
含	平	P:十三覃	第十四部
听	平上去	P:十二文,P:九青,S:十二吻,Q:二十五径	第十一部
吭	平上去	P:七阳,S:二十二养,Q:二十三漾	第二部
吮	上	S:十一轸,S:十六铣	第六部
启	上	S:八荠	第三部
吰	平	P:八庚	
吴	平	P:七虞	第四部
吵			第八部
吷	入	R:九屑	
吸	入	R:十四缉	第十七部
吹	平去	P:四支,Q:四寘	第三部
吻	上	S:十二吻	第六部
吼	上去	S:二十五有,Q:二十六宥	第十二部
吾	平	P:七虞,P:六麻	第四部
呀	平去	P:六麻,Q:二十二祃	第十部
呆	平	P:十灰	第五部
呈	平	P:八庚	第十一部
告	去入	Q:二十号,R:二沃	第八部
呐	入	R:六月,R:九屑	
呓	去	Q:八霁	第三部
呕	平上	P:七虞,P:十一尤,S:二十五有	第十二部
呖	入	R:十二锡	
呗	去	Q:十卦	
员	平去	P:十二文,P:一先,Q:十三问	第七部
呛	平	P:七阳	
呜	平上	P:七虞,S:七麌	第四部
呢	平	P:四支	
呦	平	P:十一尤	第十二部
周	平	P:十一尤	第十二部
呰	上	S:四纸	
呱	平	P:七虞,P:六麻	第四部,第十部
味	去	Q:五未	第三部
呴	去	Q:七遇	
呵	平去	P:五歌,Q:二十一个	第九部
呶	平	P:三肴	
呷	入	R:十七洽	第十九部
呻	平	P:十一真	第六部
呼	平去	P:七虞,Q:二十一个	第四部
命	去	Q:二十四敬	第十一部
呾	入	R:七曷	
呿	平去	P:六鱼,Q:六御	
咀	平上	P:六鱼,S:六语	第四部
咂			第十九部
咄	入	R:六月,R:七曷	第十八部
咆	平	P:三肴	第八部
咈	入	R:五物	
咋	入	R:十一陌	
和	平去	P:五歌,Q:二十一个	第九部
